Quantile,Nombre d'individus,Seuil de revenu brut annuel,Revenu brut annuel moyen,IRPP,PL,PPE,CSG,Impôt total,Nouvel IR
88,503 689,42 008 €,42 788 €,"5,8 %","0,3 %","0,0 %","7,7 %","13,9 %","11,5 %"
89,503 665,43 612 €,44 491 €,"5,8 %","0,4 %","0,0 %","7,7 %","13,9 %","11,6 %"
90,503 706,45 432 €,46 456 €,"6,2 %","0,4 %","0,0 %","7,7 %","14,4 %","11,8 %"
91,503 585,47 504 €,48 675 €,"6,5 %","0,4 %","0,0 %","7,7 %","14,6 %","12,0 %"
92,503 678,49 933 €,51 337 €,"6,8 %","0,4 %","0,0 %","7,7 %","15,0 %","12,2 %"
93,503 730,52 845 €,54 551 €,"7,1 %","0,5 %","0,0 %","7,7 %","15,4 %","12,5 %"
94,503 577,56 371 €,58 663 €,"7,4 %","0,6 %","0,0 %","7,8 %","15,7 %","12,9 %"
95,503 780,61 179 €,64 149 €,"7,9 %","0,6 %","0,0 %","7,8 %","16,3 %","13,8 %"
96,503 636,67 435 €,71 704 €,"8,5 %","0,6 %","0,0 %","7,8 %","16,9 %","15,4 %"
97,503 577,76 643 €,83 385 €,"9,3 %","0,7 %","0,0 %","7,8 %","17,8 %","17,7 %"
98,503 627,91 387 €,104 655 €,"10,5 %","0,8 %","0,0 %","7,9 %","19,1 %","22,1 %"
99,50 369,123 638 €,126 611 €,"11,4 %","0,8 %","0,0 %","7,9 %","20,2 %","25,6 %"
99.1,50 415,129 770 €,133 111 €,"11,8 %","0,7 %","0,0 %","7,9 %","20,4 %","26,1 %"
99.2,50 338,136 788 €,141 115 €,"11,8 %","1,0 %","0,0 %","7,9 %","20,7 %","26,8 %"
99.3,50 364,145 898 €,150 788 €,"12,3 %","0,9 %","0,0 %","7,9 %","21,1 %","27,6 %"
99.4,50 377,155 837 €,162 276 €,"12,5 %","1,0 %","0,0 %","8,0 %","21,4 %","28,5 %"
99.5,50 386,169 253 €,177 651 €,"13,2 %","0,8 %","0,0 %","8,0 %","22,0 %","29,8 %"
99.6,50 326,186 955 €,199 066 €,"13,8 %","0,9 %","0,0 %","8,0 %","22,7 %","31,6 %"
99.7,50 361,212 616 €,232 988 €,"15,0 %","0,9 %","0,0 %","8,0 %","23,9 %","34,5 %"
99.8,50 366,257 655 €,301 157 €,"16,2 %","1,2 %","0,0 %","8,1 %","25,4 %","39,9 %"
99.9,5 036,362 219 €,370 706 €,"16,2 %","1,3 %","0,0 %","8,1 %","25,5 %","43,9 %"
99.91,5 037,379 720 €,390 778 €,"16,8 %","1,1 %","0,0 %","8,1 %","26,0 %","45,0 %"
99.92,5 036,403 248 €,416 054 €,"16,3 %","1,3 %","0,0 %","8,1 %","25,7 %","46,5 %"
99.93,5 037,429 513 €,446 097 €,"17,7 %","1,2 %","0,0 %","8,1 %","27,0 %","48,1 %"
99.94,5 037,464 009 €,487 461 €,"18,2 %","1,2 %","0,0 %","8,2 %","27,5 %","50,0 %"
99.95,5 038,513 078 €,542 421 €,"19,9 %","1,0 %","0,0 %","8,1 %","29,0 %","50,9 %"
99.96,5 035,571 957 €,618 514 €,"17,8 %","1,2 %","0,0 %","8,2 %","27,2 %","51,9 %"
99.97,5 036,671 958 €,749 787 €,"18,2 %","1,6 %","0,0 %","8,2 %","28,0 %","53,8 %"
99.98,5 037,848 707 €,1 023 240 €,"18,4 %","1,7 %","0,0 %","8,3 %","28,4 %","57,7 %"
99.99,504,1 289 405 €,1 342 119 €,"18,8 %","1,5 %","0,0 %","8,3 %","28,6 %","60,0 %"
99.991,504,1 400 077 €,1 461 390 €,"19,1 %","1,3 %","0,0 %","8,3 %","28,7 %","60,0 %"
99.992,596,1 522 239 €,1 606 414 €,"23,2 %","0,8 %","0,0 %","8,2 %","32,1 %","60,0 %"
99.993,411,1 650 506 €,1 724 779 €,"17,5 %","1,1 %","0,0 %","8,3 %","26,9 %","60,0 %"
99.994,504,1 802 877 €,1 895 493 €,"17,3 %","1,2 %","0,0 %","8,4 %","27,0 %","60,0 %"
99.995,504,1 998 960 €,2 136 060 €,"17,4 %","1,0 %","0,0 %","8,4 %","26,8 %","60,0 %"
99.996,503,2 287 483 €,2 527 626 €,"18,7 %","1,0 %","0,0 %","8,4 %","28,1 %","60,0 %"
99.997,502,2 814 833 €,3 258 277 €,"18,0 %","0,9 %","0,0 %","8,5 %","27,4 %","60,0 %"
99.998,503,3 888 071 €,4 808 121 €,"13,6 %","1,1 %","0,0 %","8,5 %","23,1 %","60,0 %"
99.999,505,5 855 208 €,10 900 000 €,"13,3 %","0,8 %","0,0 %","8,6 %","22,7 %","60,0 %"
